"ID","教材","単元","地域","質問","正答","誤答1","誤答2","誤答3","誤答4","誤答5","第1巡","第2巡","処置"
"summer-014","夏期講習","","中部","愛知県常滑市沖の人工島にある国際空港は何ですか。","中部国際空港","関西国際空港","成田国際空港","新千歳空港","大阪国際空港","神戸空港","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-015","夏期講習","","中部","福井県鯖江市で生産がさかんな工業製品は何ですか。","眼鏡フレーム","刃物","洋食器","時計","自動車","船舶","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-016","夏期講習","","中部","静岡県でお茶の栽培が有名な台地は何ですか。","牧之原台地","三方原台地","笠野原台地","シラス台地","武蔵野台地","下総台地","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-017","夏期講習","","関東","東京都の南方にある世界自然遺産の諸島は何ですか。","小笠原諸島","伊豆諸島","屋久島","南西諸島","奄美大島","奄美大島・徳之島・沖縄島北部及び西表島","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-018","夏期講習","","関東","日本最大の流域面積をもつ川は何ですか。","利根川","信濃川","荒川","多摩川","吉野川","四万十川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-019","夏期講習","","関東","日本で2番目に大きい湖は何ですか。","霞ヶ浦","琵琶湖","サロマ湖","猪苗代湖","洞爺湖","支笏湖","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-020","夏期講習","","関東","日本三名園のうち茨城県にあるものは何ですか。","偕楽園","兼六園","後楽園","栗林公園","玄宮園","縮景園","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-021","夏期講習","","関東","群馬県にある、かつて生糸の生産で栄えた世界文化遺産は何ですか。","富岡製糸場","足尾銅山","八幡製鉄所","佐渡金山","平泉","石見銀山","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-022","夏期講習","","関東","栃木県にある世界文化遺産は何ですか。","日光の社寺","平泉","法隆寺","古都京都の文化財","富岡製糸場","石見銀山","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-023","夏期講習","","関東","都市の近くで新鮮な野菜などを生産する農業を何といいますか。","近郊農業","高冷地農業","施設園芸農業","促成栽培","抑制栽培","近郊野菜栽培","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-024","夏期講習","","関東","群馬県で高冷地農業が有名な村は何ですか。","嬬恋村","昭和村","川場村","片品村","野辺山村","川上村","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-025","夏期講習","","近畿","琵琶湖から流れ出し、のちに淀川へつながる川は何ですか。","瀬田川","木曽川","吉野川","利根川","信濃川","四万十川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-026","夏期講習","","近畿","京都府にある日本三景の1つは何ですか。","天橋立","松島","宮島","三保松原","鳥取砂丘","浄土ヶ浜","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-027","夏期講習","","近畿","兵庫県姫路市にある世界文化遺産の城は何ですか。","姫路城","松本城","犬山城","彦根城","熊本城","大阪城","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-028","夏期講習","","近畿","大阪と世界各地を結ぶ国際空港は何ですか。","関西国際空港","大阪国際空港","中部国際空港","神戸空港","成田国際空港","新千歳空港","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-029","夏期講習","","近畿","奈良時代に現在の奈良県に置かれた都は何ですか。","平城京","平安京","藤原京","長岡京","難波宮","恭仁京","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-030","夏期講習","","近畿","奈良県にある世界最古の木造建築物で有名な寺は何ですか。","法隆寺","東大寺","薬師寺","唐招提寺","興福寺","西大寺","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-031","夏期講習","","近畿","兵庫県の淡路島で栽培がさかんな野菜は何ですか。","たまねぎ","キャベツ","ねぎ","だいこん","きゅうり","はくさい","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-032","夏期講習","","近畿","大阪は江戸時代、商業がさかんだったことから何と呼ばれましたか。","天下の台所","日本の台所","商人の都","水の都","天下の商都","商業の中心地","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-033","夏期講習","","中国","鳥取県では、ねぎと何の生産がさかんですか。","日本なし","りんご","もも","ぶどう","だいこん","キャベツ","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-034","夏期講習","","中国","岡山県の伝統的工芸品は何ですか。","備前焼","萩焼","九谷焼","有田焼","信楽焼","瀬戸焼","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-035","夏期講習","","中国","広島県の工業では何の生産がさかんですか。","自動車","船舶","鉄鋼製品","繊維製品","鉄鋼","化学製品","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-036","夏期講習","","中国","島根県の宍道湖では何の収穫がさかんですか。","しじみ","かき","あさり","のり","わかさぎ","うなぎ","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-037","夏期講習","","中国","山口県の伝統的工芸品は何ですか。","萩焼","備前焼","九谷焼","有田焼","信楽焼","瀬戸焼","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-038","夏期講習","","中国","山口県の秋吉台では、石灰岩を生かして何工業がさかんですか。","セメント工業","石油化学工業","鉄鋼業","製紙工業","自動車工業","造船業","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-039","夏期講習","","中国","岡山県倉敷市の水島地区に発達した工業は何ですか。","石油化学工業","鉄鋼業","造船業","自動車工業","セメント工業","製紙工業","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-040","夏期講習","","中国","瀬戸内工業地域に属する岡山県の代表的な工業都市はどこですか。","倉敷市","岡山市","玉野市","福山市","呉市","川崎市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-041","夏期講習","","四国","本州と四国を児島～坂出ルートで結ぶ橋は何ですか。","瀬戸大橋","明石海峡大橋","大鳴門橋","関門橋","多々羅大橋","来島海峡大橋","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-042","夏期講習","","四国","降水量が少ない讃岐平野では、水を蓄えるために何をつくっていますか。","ため池","用水路","ダム","井戸","貯水槽","調整池","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-043","夏期講習","","四国","日本最後の清流と呼ばれる、高知県を流れる川は何ですか。","四万十川","吉野川","仁淀川","物部川","木曽川","利根川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-044","夏期講習","","四国","徳島県で毎年8月に行われる有名なおどりは何ですか。","阿波おどり","よさこい祭り","ねぶた祭","花笠まつり","竿燈まつり","祇園祭","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-045","夏期講習","","四国","香川県の代表的な郷土料理として知られる麺料理は何ですか。","讃岐うどん","きしめん","わんこそば","ほうとう","稲庭うどん","沖縄そば","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-046","夏期講習","","四国","オリーブの生産がさかんな瀬戸内海の島は何ですか。","小豆島","淡路島","大三島","因島","択捉島","南鳥島","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-047","夏期講習","","四国","愛媛県今治市で生産がさかんなものは何ですか。","タオル","うちわ","手袋","足袋","洋食器","刃物","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-048","夏期講習","","四国","高知県の郷土料理として有名な、魚を表面だけ焼いた料理は何ですか。","かつおのたたき","ますずし","ふなずし","いかめし","さばずし","ぶり大根","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-049","夏期講習","","九州・沖縄","福岡県の政令指定都市は、福岡市とどこですか。","北九州市","久留米市","大牟田市","佐世保市","玉野市","岡山市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-050","夏期講習","","九州・沖縄","佐賀県南部を中心に広がり、筑後川が流れる平野は何ですか。","筑紫平野","八代平野","宮崎平野","熊本平野","石狩平野","庄内平野","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-051","夏期講習","","九州・沖縄","温泉地が多い大分県で、温泉を利用して行われる発電は何ですか。","地熱発電","水力発電","火力発電","風力発電","原子力発電","太陽光発電","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-052","夏期講習","","九州・沖縄","世界最大級のカルデラを持つ熊本県の火山は何ですか。","阿蘇山","桜島","雲仙普賢岳","霧島山","富士山","浅間山","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-053","夏期講習","","九州・沖縄","1950年代の熊本県で、工場排水が原因となった公害病は何ですか。","水俣病","イタイイタイ病","四日市ぜんそく","新潟水俣病","光化学スモッグ","ぜんそく","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-054","夏期講習","","九州・沖縄","鹿児島県にある、火山灰が積もってできた台地を何といいますか。","シラス台地","牧之原台地","笠野原台地","三方原台地","武蔵野台地","下総台地","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-055","夏期講習","","九州・沖縄","鹿児島県にある世界自然遺産の島は何ですか。","屋久島","奄美大島","種子島","小笠原諸島","択捉島","南鳥島","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-056","夏期講習","","九州・沖縄","沖縄県の島の周りに広がり、観光資源にもなっているものは何ですか。","さんご礁","干潟","砂丘","リアス海岸","太平洋","東シナ海","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-057","夏期講習","","北海道・東北","北海道で製紙・パルプ工業がさかんな都市は、釧路とどこですか。","苫小牧","室蘭","旭川","函館","帯広","北見","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-058","夏期講習","","北海道・東北","秋田県にある日本三大美林の1つは何ですか。","秋田杉","青森ひば","木曽ひのき","吉野杉","屋久杉","秋田ひば","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-059","夏期講習","","北海道・東北","東北自動車道沿いに多く立ち並んでいる工場は何工場ですか。","自動車工場","IC工場","製紙工場","造船所","化学工場","食品工場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-060","夏期講習","","中部","石川県の伝統的工芸品は九谷焼・加賀友禅と、あと1つは何ですか。","輪島塗","会津塗","津軽塗","春慶塗","山中漆器","若狭塗","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-061","夏期講習","","中部","静岡県の東海工業地域では、楽器・オートバイのほかに何の生産がさかんですか。","自動車","船舶","鉄鋼製品","繊維製品","化学製品","鉄鋼","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-062","夏期講習","","関東","京浜工業地帯で、鉄鋼・石油化学工業がさかんな神奈川県の都市はどこですか。","川崎市","横浜市","千葉市","市原市","鹿嶋市","玉野市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-063","夏期講習","","関東","茨城県で、台風の被害を避けるため出荷時期を早めた米を何といいますか。","早場米","新米","二期作米","もち米","早生米","晩生米","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-064","夏期講習","","関東","嬬恋村でさかんに生産されている野菜をまとめて何といいますか。","高原野菜","近郊野菜","京野菜","促成野菜","夏秋野菜","冷涼地野菜","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-065","夏期講習","","近畿","三重県四日市市も含まれる日本の工業地帯は何ですか。","中京工業地帯","阪神工業地帯","京浜工業地帯","瀬戸内工業地域","京葉工業地域","北関東工業地域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-066","夏期講習","","中国","瀬戸内工業地域に属する岡山県の都市は、倉敷市とどこですか。","玉野市","岡山市","福山市","呉市","倉敷市","川崎市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-067","夏期講習","","中国","岡山県倉敷市の児島地区で生産が盛んな衣料品は何ですか。","ジーンズ","タオル","学生服","作業服","デニムシャツ","帆布製品","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-068","夏期講習","","四国","愛媛県西部に位置する海は何ですか。","宇和海","燧灘","土佐湾","伊予灘","日本海","東シナ海","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-069","夏期講習","","四国","瀬戸内しまなみ海道は、広島県尾道市と愛媛県のどこを結んでいますか。","今治市","松山市","新居浜市","宇和島市","岡山市","福山市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-070","夏期講習","","四国","徳島県と兵庫県の淡路島を結ぶ橋は何ですか。","大鳴門橋","明石海峡大橋","瀬戸大橋","来島海峡大橋","関門橋","多々羅大橋","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-071","夏期講習","","四国","香川用水の水源となっている川は何ですか。","吉野川","四万十川","仁淀川","重信川","利根川","木曽川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-072","夏期講習","","四国","愛媛県の県庁所在地はどこですか。","松山市","高松市","徳島市","高知市","仙台市","横浜市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-073","夏期講習","","四国","徳島県北部、鳴門海峡に近い砂地で栽培されるさつまいもは何ですか。","鳴門金時","安納いも","紅あずま","五郎島金時","紅はるか","シルクスイート","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-074","夏期講習","","四国","香川県坂出市でさかんに行われている工業は何ですか。","造船業","自動車工業","鉄鋼業","石油化学工業","セメント工業","製紙工業","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-075","夏期講習","","四国","宇和海では真珠と何の養殖がさかんですか。","たい","ぶり","かき","のり","はまち","ひらめ","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-076","夏期講習","","九州・沖縄","たたみ表になるい草の生産がさかんな熊本県の平野は何ですか。","八代平野","筑紫平野","熊本平野","宮崎平野","庄内平野","石狩平野","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-077","夏期講習","","九州・沖縄","宮崎平野でピーマンやきゅうりなどの収穫時期を早める栽培方法は何ですか。","促成栽培","抑制栽培","果樹栽培","マルチ栽培","水耕栽培","露地栽培","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-078","夏期講習","","九州・沖縄","鹿児島県のシラス台地で、お茶とともに生産がさかんな農産物は何ですか。","さつまいも","じゃがいも","さとうきび","だいこん","もも","りんご","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-079","夏期講習","","九州・沖縄","沖縄県の島の中で最も面積が大きい島は何ですか。","沖縄本島","石垣島","宮古島","西表島","沖ノ鳥島","与那国島","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-080","夏期講習","","九州・沖縄","九州地方の各地の空港や高速道路の近くに進出している工場は何工場ですか。","IC工場","自動車工場","製鉄所","石油化学工場","化学工場","食品工場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-081","夏期講習","","北海道・東北","岩手県で中尊寺金色堂がある、世界文化遺産の地域は何ですか。","平泉","日光","鎌倉","白川郷","石見銀山","富岡製糸場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-082","夏期講習","","北海道・東北","北海道の代表的な山で、石狩平野の西側にある火山は何ですか。","有珠山","羊蹄山","大雪山","十勝岳","樽前山","駒ヶ岳","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-083","夏期講習","","北海道・東北","北海道西部を南北にのびる山地は何ですか。","日高山脈","北見山地","天塩山地","夕張山地","越後山脈","赤石山脈","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-084","夏期講習","","北海道・東北","青森県の伝統的な祭りで、大型の灯籠を使うものは何ですか。","ねぶた祭","竿燈まつり","花笠まつり","仙台七夕まつり","阿波おどり","よさこい祭り","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-085","夏期講習","","北海道・東北","秋田県の伝統的な祭りで、多くのちょうちんを付けた竿を使うものは何ですか。","竿燈まつり","ねぶた祭","花笠まつり","仙台七夕まつり","阿波おどり","よさこい祭り","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-086","夏期講習","","北海道・東北","山形県の伝統的な祭りで、大きな花笠を使うものは何ですか。","花笠まつり","ねぶた祭","竿燈まつり","仙台七夕まつり","阿波おどり","よさこい祭り","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-087","夏期講習","","北海道・東北","岩手県盛岡市の伝統的工芸品で、鉄製の茶がまや鉄びんなどを何といいますか。","南部鉄器","山形鋳物","高岡銅器","燕鎚起銅器","肥後象嵌","東京銀器","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-088","夏期講習","","北海道・東北","山形県天童市で生産がさかんな伝統的工芸品は何ですか。","将棋駒","こけし","曲げわっぱ","赤べこ","箱根寄木細工","木彫り熊","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-089","夏期講習","","中部","長野県内を流れ、新潟県に入ると信濃川と呼ばれる川は何ですか。","千曲川","天竜川","木曽川","富士川","吉野川","信濃川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-090","夏期講習","","中部","山梨県の県庁所在地はどこですか。","甲府市","長野市","静岡市","前橋市","仙台市","横浜市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-091","夏期講習","","中部","山梨県で栽培されたぶどうを原料に生産が盛んな飲み物は何ですか。","ワイン","日本酒","ビール","ぶどうジュース","ブランデー","シードル","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-092","夏期講習","","中部","石川県金沢市で生産が盛んな、工芸品の装飾にも使われるものは何ですか。","金箔","銀箔","金糸","銀糸","漆","螺鈿","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-093","夏期講習","","中部","愛知県の渥美半島で、メロンとともに栽培が有名な花は何ですか。","電照菊","チューリップ","カーネーション","ラベンダー","バラ","シクラメン","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-094","夏期講習","","中部","山梨県を流れる川の水を利用して行われる発電は何ですか。","水力発電","地熱発電","火力発電","風力発電","原子力発電","太陽光発電","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-095","夏期講習","","中部","富山県・岐阜県・長野県にまたがる山脈は何ですか。","飛騨山脈","木曽山脈","赤石山脈","越後山脈","奥羽山脈","日高山脈","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-096","夏期講習","","中部","長野県から岐阜県方面に連なる山脈は何ですか。","木曽山脈","飛騨山脈","赤石山脈","越後山脈","奥羽山脈","日高山脈","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-097","夏期講習","","中部","長野県・山梨県・静岡県に連なる山脈は何ですか。","赤石山脈","飛騨山脈","木曽山脈","越後山脈","奥羽山脈","日高山脈","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-098","夏期講習","","中部","静岡県の浜名湖でさかんな養殖は何ですか。","うなぎの養殖","あゆの養殖","のりの養殖","真珠の養殖","かきの養殖","たいの養殖","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-099","夏期講習","","中部","静岡県浜松市で生産が盛んな代表的な楽器は何ですか。","ピアノ","三線","琴","和太鼓","三味線","尺八","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-100","夏期講習","","関東","茨城県鹿嶋市の製鉄所で生産される主なものは何ですか。","鉄鋼","自動車","半導体","陶磁器","化学製品","機械類","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-101","夏期講習","","関東","利根川上流にあり、首都圏の重要な水源となっているダムは何ですか。","矢木沢ダム","黒部ダム","奥只見ダム","宮ヶ瀬ダム","御母衣ダム","緑のダム","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-102","夏期講習","","関東","茨城県と千葉県の県境を流れる大きな川は何ですか。","利根川","信濃川","荒川","多摩川","吉野川","木曽川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-103","夏期講習","","関東","群馬県の嬬恋村で特に生産がさかんな高原野菜は何ですか。","キャベツ","レタス","はくさい","だいこん","きゅうり","たまねぎ","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-104","夏期講習","","関東","京葉工業地域で石油化学工業がさかんな千葉県の都市はどこですか。","市原市","千葉市","川崎市","鹿嶋市","横浜市","玉野市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-105","夏期講習","","関東","東京都八丈島の伝統的工芸品は何ですか。","黄八丈","大島紬","西陣織","結城紬","博多織","久留米絣","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-106","夏期講習","","関東","茨城県の鹿島臨海工業地域にある特徴的な港は、何字型の掘り込み港ですか。","Y字型","X字型","T字型","L字型","U字型","V字型","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-107","夏期講習","","関東","東京都と神奈川県を中心に広がる工業地帯は何ですか。","京浜工業地帯","京葉工業地域","中京工業地帯","阪神工業地帯","北関東工業地域","瀬戸内工業地域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-108","夏期講習","","関東","千葉県の東京湾岸に広がる工業地域は何ですか。","京葉工業地域","京浜工業地帯","北関東工業地域","瀬戸内工業地域","東海工業地域","大分臨海工業地域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-109","夏期講習","","関東","群馬県・栃木県・茨城県を中心に広がる工業地域は何ですか。","北関東工業地域","京葉工業地域","東海工業地域","瀬戸内工業地域","大分臨海工業地域","鹿島臨海工業地域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-110","夏期講習","","近畿","京都府南部で栽培が盛んな茶を何といいますか。","宇治茶","静岡茶","狭山茶","八女茶","知覧茶","伊勢茶","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-111","夏期講習","","近畿","滋賀県で稲作が行われている盆地は何ですか。","近江盆地","京都盆地","奈良盆地","甲府盆地","山形盆地","松本盆地","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-112","夏期講習","","近畿","京都で栽培される九条ねぎなどの野菜をまとめて何といいますか。","京野菜","高原野菜","近郊野菜","加賀野菜","江戸東京野菜","大和野菜","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-113","夏期講習","","近畿","京都府の代表的な伝統的工芸品である織物は何ですか。","西陣織","博多織","結城紬","大島紬","黄八丈","久留米絣","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-114","夏期講習","","近畿","三重県四日市市で発生した代表的な公害病は何ですか。","四日市ぜんそく","水俣病","イタイイタイ病","新潟水俣病","光化学スモッグ","ぜんそく","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-115","夏期講習","","近畿","大阪府と兵庫県に広がり、機械類の生産がさかんな工業地帯は何ですか。","阪神工業地帯","中京工業地帯","京浜工業地帯","瀬戸内工業地域","京葉工業地域","北関東工業地域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-116","夏期講習","","近畿","和歌山県で、みかん・うめとともに生産がさかんな果物は何ですか。","かき","キウイフルーツ","もも","なし","りんご","ぶどう","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-117","夏期講習","","近畿","三重県志摩半島でさかんな養殖は何ですか。","真珠の養殖","のりの養殖","かきの養殖","うなぎの養殖","たいの養殖","わかめの養殖","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-118","夏期講習","","近畿","兵庫県神戸市と淡路島を結ぶ橋は何ですか。","明石海峡大橋","瀬戸大橋","大鳴門橋","関門橋","来島海峡大橋","多々羅大橋","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-119","夏期講習","","近畿","京都盆地から大阪平野を通り、大阪湾へ流れる川は何ですか。","淀川","大和川","紀の川","木津川","吉野川","木曽川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-120","夏期講習","","中国","鳥取砂丘周辺の砂地で栽培が盛んな作物は何ですか。","らっきょう","れんこん","さとうきび","てんさい","さくらんぼ","りんご","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-121","夏期講習","","中国","島根県大田市にある世界文化遺産の鉱山跡は何ですか。","石見銀山","佐渡金山","足尾銅山","別子銅山","生野銀山","石見銅山","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-122","夏期講習","","中国","広島湾で養殖が盛んな貝は何ですか。","かき（貝）","真珠貝","あさり","しじみ","ほたて","はまぐり","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-123","夏期講習","","中国","山口県下関市の名物として知られる魚は何ですか。","ふぐ","かつお","さけ","にしん","たい","あじ","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-124","夏期講習","","中国","岡山県倉敷市の美観地区で見られる代表的な町並みはどれですか。","白壁の蔵屋敷","合掌造りの集落","赤瓦の住宅","雁木の通路","石畳の町並み","武家屋敷","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-125","夏期講習","","中国","広島県の伝統的工芸品で、毛先を使う文房具は何ですか。","熊野筆","赤間硯","奈良筆","播州そろばん","豊橋筆","雄勝硯","意味確認済み","形式・重複・唯一正解確認済み","適合"
